#cur_kf_id,numAddedSmartF,numAddedImuF,numAddedNoMotionF,numAddedConstantF,numAddedBetweenStereoF,state_size,landmark_count
0,0,0,0,0,0,3,0
1,0,1,1,0,0,6,295
2,298,1,0,0,0,9,329
3,291,1,0,0,0,12,329
4,285,1,0,0,0,15,329
5,308,1,0,0,0,18,363
6,301,1,0,0,0,21,363
7,291,1,0,0,0,24,363
8,304,1,0,0,0,27,397
9,290,1,0,0,0,30,397
10,308,1,0,0,0,33,431
11,286,1,0,0,0,36,431
12,292,1,0,0,0,39,465
13,314,1,0,0,0,42,499
14,283,1,0,0,0,45,499
15,297,1,0,0,0,48,532
16,310,1,0,0,0,51,565
17,297,1,0,0,0,54,565
18,305,1,0,0,0,57,599
19,289,1,0,0,0,60,599
20,285,1,0,0,0,63,632
21,307,1,0,0,0,66,665
22,283,1,0,0,0,69,665
23,300,1,0,0,0,72,698
24,314,1,0,0,0,75,731
25,303,1,0,0,0,78,731
26,300,1,0,0,0,78,830
27,296,1,0,0,0,78,864
28,284,1,0,0,0,78,898
29,300,1,0,0,0,78,932
30,303,1,0,0,0,78,966
31,315,1,0,0,0,78,1001
32,289,1,0,0,0,78,1001
33,312,1,0,0,0,78,1036
34,306,1,0,0,0,78,1071
35,289,1,0,0,0,78,1071
36,288,1,0,0,0,78,1106
37,291,1,0,0,0,78,1141
38,283,1,0,0,0,78,1176
39,283,1,0,0,0,78,1211
40,300,1,0,0,0,78,1281
41,301,1,0,0,0,78,1316
42,290,1,0,0,0,78,1351
43,305,1,0,0,0,78,1386
44,299,1,0,0,0,78,1421
45,301,1,0,0,0,78,1456
46,317,1,0,0,0,78,1526
47,309,1,0,0,0,78,1561
48,296,1,0,0,0,78,1596
49,305,1,0,0,0,78,1631
50,309,1,0,0,0,78,1666
51,303,1,0,0,0,78,1701
52,291,1,0,0,0,78,1736
53,293,1,0,0,0,78,1771
54,305,1,0,0,0,78,1806
55,311,1,0,0,0,78,1841
56,303,1,0,0,0,78,1841
57,292,1,0,0,0,78,1841
58,288,1,0,0,0,78,1841
59,311,1,0,0,0,78,1876
60,298,1,0,0,0,78,1876
61,306,1,0,0,0,78,1911
62,317,1,0,0,0,78,1946
63,304,1,0,0,0,78,2016
64,286,1,0,0,0,78,2051
65,287,1,0,0,0,78,2086
66,294,1,0,0,0,78,2121
67,286,1,0,0,0,78,2156
68,302,1,0,0,0,78,2191
69,288,1,0,0,0,78,2226
70,310,1,0,0,0,78,2261
71,304,1,0,0,0,78,2296
